Season_Yr,Visitor_Team,Visitor_Team_PTS,Home_Team,Home_Team_PTS
2017,Atlanta Hawks,109,Denver Nuggets,108
2017,Golden State Warriors,119,Detroit Pistons,113
2017,Dallas Mavericks,90,Los Angeles Clippers,88
2017,Houston Rockets,109,Memphis Grizzlies,115
2017,Washington Wizards,96,Milwaukee Bucks,123
2017,Sacramento Kings,109,Minnesota Timberwolves,105
2017,Miami Heat,87,New Orleans Pelicans,91
2017,Los Angeles Lakers,90,Orlando Magic,109
2017,Philadelphia 76ers,116,Phoenix Suns,123
2017,San Antonio Spurs,110,Portland Trail Blazers,90
2017,Toronto Raptors,104,Utah Jazz,98
2017,Golden State Warriors,108,Cleveland Cavaliers,109
2017,Los Angeles Clippers,102,Los Angeles Lakers,111
2017,Boston Celtics,119,New York Knicks,114
2017,Minnesota Timberwolves,100,Oklahoma City Thunder,112
2017,Chicago Bulls,100,San Antonio Spurs,119
2017,Charlotte Hornets,118,Brooklyn Nets,120
2017,Indiana Pacers,85,Chicago Bulls,90
2017,Cleveland Cavaliers,90,Detroit Pistons,106
2017,Phoenix Suns,115,Houston Rockets,131
2017,Denver Nuggets,106,Los Angeles Clippers,102
2017,Atlanta Hawks,90,Minnesota Timberwolves,104
2017,Dallas Mavericks,104,New Orleans Pelicans,111
2017,Memphis Grizzlies,102,Orlando Magic,112
2017,Toronto Raptors,95,Portland Trail Blazers,91
2017,Philadelphia 76ers,100,Sacramento Kings,102
2017,Milwaukee Bucks,102,Washington Wizards,107
2017,Memphis Grizzlies,103,Boston Celtics,113
2017,Houston Rockets,123,Dallas Mavericks,107
2017,Utah Jazz,102,Los Angeles Lakers,100
2017,Oklahoma City Thunder,106,Miami Heat,94
2017,New York Knicks,0,Atlanta Hawks,1
2017,Brooklyn Nets,0,Chicago Bulls,1
2017,Minnesota Timberwolves,0,Denver Nuggets,1
2017,Milwaukee Bucks,0,Detroit Pistons,1
2017,Toronto Raptors,0,Golden State Warriors,1
2017,Los Angeles Clippers,0,New Orleans Pelicans,1
2017,Charlotte Hornets,0,Orlando Magic,1
2017,Sacramento Kings,0,Portland Trail Blazers,1
2017,Phoenix Suns,0,San Antonio Spurs,1
2017,Indiana Pacers,0,Washington Wizards,1
2017,Miami Heat,0,Charlotte Hornets,1
2017,Boston Celtics,0,Cleveland Cavaliers,1
2017,Dallas Mavericks,0,Los Angeles Lakers,1
2017,Oklahoma City Thunder,0,Memphis Grizzlies,1
2017,Toronto Raptors,0,Phoenix Suns,1
2017,Philadelphia 76ers,0,Utah Jazz,1
2017,Detroit Pistons,0,Atlanta Hawks,1
2017,Miami Heat,0,Boston Celtics,1
2017,Philadelphia 76ers,0,Denver Nuggets,1
2017,Dallas Mavericks,0,Golden State Warriors,1
2017,Los Angeles Clippers,0,Houston Rockets,1
2017,Chicago Bulls,0,Indiana Pacers,1
2017,Milwaukee Bucks,0,Minnesota Timberwolves,1
2017,New York Knicks,0,New Orleans Pelicans,1
2017,Portland Trail Blazers,0,San Antonio Spurs,1
2017,Brooklyn Nets,0,Washington Wizards,1
2017,Milwaukee Bucks,0,Chicago Bulls,1
2017,Cleveland Cavaliers,0,Charlotte Hornets,1
2017,New York Knicks,0,Houston Rockets,1
2017,Los Angeles Clippers,0,Oklahoma City Thunder,1
2017,Memphis Grizzlies,0,Sacramento Kings,1
2017,Phoenix Suns,0,Utah Jazz,1
2017,San Antonio Spurs,0,Atlanta Hawks,1
2017,Orlando Magic,0,Indiana Pacers,1
2017,Toronto Raptors,0,Los Angeles Lakers,1
2017,Detroit Pistons,0,Miami Heat,1
2017,Portland Trail Blazers,0,Minnesota Timberwolves,1
2017,Utah Jazz,0,Brooklyn Nets,1
2017,Charlotte Hornets,0,Chicago Bulls,1
2017,New Orleans Pelicans,0,Cleveland Cavaliers,1
2017,Denver Nuggets,0,Golden State Warriors,1
2017,Washington Wizards,0,Houston Rockets,1
2017,Phoenix Suns,0,Los Angeles Clippers,1
2017,Oklahoma City Thunder,0,Milwaukee Bucks,1
2017,Orlando Magic,0,New York Knicks,1
2017,Utah Jazz,0,Boston Celtics,1
2017,Washington Wizards,0,Dallas Mavericks,1
2017,Sacramento Kings,0,Denver Nuggets,1
2017,Indiana Pacers,0,Detroit Pistons,1
2017,Memphis Grizzlies,0,Los Angeles Lakers,1
