ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
247,Atlanta Hawks,94,Los Angeles Lakers,109,1,0,0.500242283436,2016-11-27
248,Milwaukee Bucks,104,Orlando Magic,96,0,0,0.622051164418,2016-11-27
249,Cleveland Cavaliers,112,Philadelphia 76ers,108,0,0,0.88841507696,2016-11-27
250,Denver Nuggets,120,Phoenix Suns,114,0,0,0.562120298704,2016-11-27
251,Houston Rockets,130,Portland Trail Blazers,114,0,0,0.739170633121,2016-11-27
252,Atlanta Hawks,100,Golden State Warriors,105,1,1,0.945141488525,2016-11-28
253,Charlotte Hornets,104,Memphis Grizzlies,85,0,1,0.575674557293,2016-11-28
254,Boston Celtics,112,Miami Heat,104,0,0,0.52254104381,2016-11-28
255,Utah Jazz,112,Minnesota Timberwolves,103,0,0,0.62156976129,2016-11-28
256,Oklahoma City Thunder,112,New York Knicks,103,0,1,0.52795380652,2016-11-28
257,Philadelphia 76ers,95,Toronto Raptors,122,1,1,0.96845557145,2016-11-28
258,Sacramento Kings,95,Washington Wizards,101,1,1,0.687173722186,2016-11-28
259,Los Angeles Clippers,122,Brooklyn Nets,127,1,0,0.867966831395,2016-11-29
260,Detroit Pistons,112,Charlotte Hornets,89,0,1,0.672491142743,2016-11-29
261,Cleveland Cavaliers,101,Milwaukee Bucks,118,1,0,0.644985337524,2016-11-29
262,Los Angeles Lakers,88,New Orleans Pelicans,105,1,1,0.701924878869,2016-11-29
263,Orlando Magic,95,San Antonio Spurs,83,0,1,0.923627923021,2016-11-29
264,Houston Rockets,101,Utah Jazz,120,1,1,0.555286729582,2016-11-29
265,Detroit Pistons,121,Boston Celtics,114,0,1,0.689618236964,2016-11-30
266,Los Angeles Lakers,96,Chicago Bulls,90,0,1,0.843073055198,2016-11-30
267,San Antonio Spurs,94,Dallas Mavericks,87,0,0,0.778244128641,2016-11-30
268,Miami Heat,106,Denver Nuggets,98,0,1,0.641511708417,2016-11-30
269,New York Knicks,106,Minnesota Timberwolves,104,0,1,0.643452194121,2016-11-30
270,Washington Wizards,115,Oklahoma City Thunder,126,1,1,0.709965947301,2016-11-30
271,Atlanta Hawks,107,Phoenix Suns,109,1,0,0.58232353873,2016-11-30
272,Indiana Pacers,109,Portland Trail Blazers,131,1,1,0.625413122531,2016-11-30
273,Memphis Grizzlies,105,Toronto Raptors,120,1,1,0.900879815059,2016-11-30
274,Milwaukee Bucks,111,Brooklyn Nets,93,0,0,0.694259063162,2016-12-01
275,Dallas Mavericks,87,Charlotte Hornets,97,1,1,0.836720336815,2016-12-01
276,Los Angeles Clippers,113,Cleveland Cavaliers,94,0,1,0.670271969537,2016-12-01
277,Houston Rockets,132,Golden State Warriors,127,0,1,0.808131206131,2016-12-01
278,Orlando Magic,94,Memphis Grizzlies,95,1,1,0.804283705569,2016-12-01
279,Miami Heat,111,Utah Jazz,110,0,1,0.846515414551,2016-12-01
280,Detroit Pistons,121,Atlanta Hawks,85,0,1,0.549152856017,2016-12-02
281,Sacramento Kings,92,Boston Celtics,97,1,1,0.779607854451,2016-12-02
282,Cleveland Cavaliers,105,Chicago Bulls,111,1,0,0.643828352105,2016-12-02
283,Houston Rockets,128,Denver Nuggets,110,0,0,0.711676832776,2016-12-02
284,Los Angeles Clippers,114,New Orleans Pelicans,96,0,0,0.785003507911,2016-12-02
285,Minnesota Timberwolves,114,New York Knicks,118,1,1,0.642208080306,2016-12-02
286,Orlando Magic,105,Philadelphia 76ers,88,0,1,0.548848457028,2016-12-02
287,Washington Wizards,105,San Antonio Spurs,107,1,1,0.855947373624,2016-12-02
288,Los Angeles Lakers,80,Toronto Raptors,113,1,1,0.954142533635,2016-12-02
289,Minnesota Timberwolves,125,Charlotte Hornets,120,0,1,0.759644693142,2016-12-03
290,Chicago Bulls,82,Dallas Mavericks,107,1,0,0.608598243186,2016-12-03
291,Phoenix Suns,109,Golden State Warriors,138,1,1,0.977391613069,2016-12-03
292,Los Angeles Lakers,100,Memphis Grizzlies,103,1,1,0.804695862686,2016-12-03
293,Brooklyn Nets,103,Milwaukee Bucks,112,1,1,0.880318237047,2016-12-03
294,Boston Celtics,107,Philadelphia 76ers,106,0,0,0.729302449192,2016-12-03
295,Miami Heat,92,Portland Trail Blazers,99,1,1,0.609166748017,2016-12-03
296,Atlanta Hawks,84,Toronto Raptors,128,1,1,0.920315086014,2016-12-03
297,Denver Nuggets,98,Utah Jazz,105,1,1,0.847259539442,2016-12-03
298,Orlando Magic,98,Detroit Pistons,92,0,1,0.826942391936,2016-12-04
299,Indiana Pacers,111,Los Angeles Clippers,102,0,1,0.908558893594,2016-12-04
300,Sacramento Kings,98,New York Knicks,106,1,1,0.64993409941,2016-12-04
301,New Orleans Pelicans,92,Oklahoma City Thunder,101,1,1,0.792439007772,2016-12-04
302,Oklahoma City Thunder,102,Atlanta Hawks,99,0,1,0.53879147301,2016-12-05
303,Washington Wizards,118,Brooklyn Nets,113,0,0,0.609410606086,2016-12-05
304,Portland Trail Blazers,112,Chicago Bulls,110,0,1,0.788065148217,2016-12-05
305,Charlotte Hornets,109,Dallas Mavericks,101,0,0,0.612702235026,2016-12-05
306,Indiana Pacers,106,Golden State Warriors,142,1,1,0.952218850322,2016-12-05
307,Boston Celtics,106,Houston Rockets,107,1,1,0.801428745297,2016-12-05
308,Utah Jazz,107,Los Angeles Lakers,101,0,0,0.739624642794,2016-12-05
309,San Antonio Spurs,97,Milwaukee Bucks,96,0,0,0.557597771769,2016-12-05
310,Memphis Grizzlies,110,New Orleans Pelicans,108,0,1,0.507060672155,2016-12-05
311,Denver Nuggets,106,Philadelphia 76ers,98,0,0,0.576263275067,2016-12-05
312,Cleveland Cavaliers,116,Toronto Raptors,112,0,1,0.68178398273,2016-12-05
313,Chicago Bulls,91,Detroit Pistons,102,1,1,0.616123793473,2016-12-06
314,Philadelphia 76ers,91,Memphis Grizzlies,96,1,1,0.858748846232,2016-12-06
315,New York Knicks,114,Miami Heat,103,0,1,0.635157610346,2016-12-06
