ID,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
122,2016-12-07,01:30,Dallas Mavericks vs Sacramento Kings,Dallas Mavericks,Sacramento Kings,2.36,1.65,Sacramento Kings,Dallas Mavericks,0.534,Y,89,120,Sacramento Kings,2.36
123,2016-12-07,02:00,Phoenix Suns vs Indiana Pacers,Phoenix Suns,Indiana Pacers,2.53,1.57,Indiana Pacers,Indiana Pacers,0.547,N,94,109,Indiana Pacers,2.53
124,2016-12-07,03:30,Los Angeles Clippers vs Golden State Warriors,Los Angeles Clippers,Golden State Warriors,2.5,1.58,Golden State Warriors,Golden State Warriors,0.527,N,98,115,Golden State Warriors,2.5
125,2016-12-08,00:00,Toronto Raptors vs Minnesota Timberwolves,Toronto Raptors,Minnesota Timberwolves,1.2,4.95,Toronto Raptors,Toronto Raptors,0.923,N,124,110,Minnesota Timberwolves,1.2
126,2016-12-08,00:00,Washington Wizards vs Denver Nuggets,Washington Wizards,Denver Nuggets,1.45,2.91,Washington Wizards,Washington Wizards,0.689,N,92,85,Denver Nuggets,1.45
127,2016-12-08,01:00,Memphis Grizzlies vs Portland Trail Blazers,Memphis Grizzlies,Portland Trail Blazers,2.36,1.65,Portland Trail Blazers,Memphis Grizzlies,0.74,Y,88,86,Portland Trail Blazers,2.36
128,2016-12-08,01:00,New Orleans Pelicans vs Philadelphia 76ers,New Orleans Pelicans,Philadelphia 76ers,1.38,3.24,New Orleans Pelicans,New Orleans Pelicans,0.777,N,88,99,Philadelphia 76ers,1.38
129,2016-12-08,02:00,Utah Jazz vs Golden State Warriors,Utah Jazz,Golden State Warriors,6.88,1.13,Golden State Warriors,Golden State Warriors,0.652,N,99,106,Golden State Warriors,6.88
130,2016-12-08,02:30,Chicago Bulls vs San Antonio Spurs,Chicago Bulls,San Antonio Spurs,2.4,1.63,San Antonio Spurs,San Antonio Spurs,0.556,N,95,91,San Antonio Spurs,2.4
131,2016-12-09,00:00,Charlotte Hornets vs Orlando Magic,Charlotte Hornets,Orlando Magic,1.32,3.59,Charlotte Hornets,Charlotte Hornets,0.845,N,109,88,Orlando Magic,1.32
