ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
123,ligue-1,2016-09-10,19:00,Bastia vs Toulouse,Bastia,Toulouse,2.89,2.92,2.81,Toulouse,Bastia,0.389,Y,2,1,Bastia,2.89
124,ligue-1,2016-09-10,19:00,Lorient vs Nancy,Lorient,Nancy,2.48,3.13,3.12,Lorient,Lorient,0.37,N,0,2,Nancy,3.12
125,ligue-1,2016-09-10,19:00,Angers vs Dijon,Angers,Dijon,2.27,3.04,3.64,Angers,Angers,0.45,N,3,1,Angers,2.27
126,ligue-1,2016-09-10,19:00,Guingamp vs Montpellier,Guingamp,Montpellier,2.37,3.15,3.27,Guingamp,Guingamp,0.553,N,1,1,Draw,3.15
127,ligue-1,2016-09-10,19:00,Lille vs Monaco,Lille,Monaco,2.43,3.05,3.27,Lille,Monaco,0.569,Y,1,4,Monaco,3.27
128,laliga,2016-09-10,19:30,FC Barcelona vs Alaves,FC Barcelona,Alaves,1.09,11.95,31.16,FC Barcelona,FC Barcelona,0.606,N,1,2,Alaves,31.16
129,serie-a,2016-09-10,19:45,Palermo vs Napoli,Palermo,Napoli,8.88,5.07,1.37,Napoli,Napoli,0.613,N,0,3,Napoli,1.37
130,laliga,2016-09-11,11:00,Sporting Gijon vs Leganes,Sporting Gijon,Leganes,2.49,3.07,3.22,Sporting Gijon,Sporting Gijon,0.407,N,2,1,Sporting Gijon,2.49
131,serie-a,2016-09-11,11:30,Bologna vs Cagliari,Bologna,Cagliari,2.2,3.24,3.6,Bologna,Bologna,0.476,N,2,1,Bologna,2.2
132,serie-a,2016-09-11,14:00,Atalanta vs Torino,Atalanta,Torino,2.62,3.22,2.87,Atalanta,Atalanta,0.499,N,2,1,Atalanta,2.62
133,serie-a,2016-09-11,14:00,AC Milan vs Udinese,AC Milan,Udinese,1.58,4.11,6.02,AC Milan,AC Milan,0.583,N,0,1,Udinese,6.02
134,serie-a,2016-09-11,14:00,AS Roma vs Sampdoria,AS Roma,Sampdoria,1.37,5.15,8.68,AS Roma,AS Roma,0.625,N,3,2,AS Roma,1.37
135,serie-a,2016-09-11,14:00,Chievo vs Lazio Roma,Chievo,Lazio Roma,3.51,3.18,2.27,Lazio Roma,Lazio Roma,0.392,N,1,1,Draw,3.18
136,ligue-1,2016-09-11,14:00,Nantes vs Metz,Nantes,Metz,1.72,3.49,5.65,Nantes,Nantes,0.46,N,0,3,Metz,5.65
137,bundesliga,2016-09-11,14:30,Werder Bremen vs Augsburg,Werder Bremen,Augsburg,2.41,3.47,2.96,Werder Bremen,Werder Bremen,0.419,N,1,2,Augsburg,2.96
138,laliga,2016-09-11,15:00,Valencia vs Real Betis,Valencia,Real Betis,1.55,4.32,6.21,Valencia,Valencia,0.406,N,2,3,Real Betis,6.21
139,premier-league,2016-09-11,16:00,Swansea City vs Chelsea,Swansea City,Chelsea,6.29,4.17,1.58,Chelsea,Chelsea,0.689,N,2,2,Draw,4.17
140,ligue-1,2016-09-11,16:00,Rennes vs Caen,Rennes,Caen,2.06,3.35,3.84,Rennes,Rennes,0.554,N,2,0,Rennes,2.06
141,laliga,2016-09-11,17:15,Granada vs Eibar,Granada,Eibar,2.46,3.24,3.09,Granada,Eibar,0.493,Y,1,2,Eibar,3.09
142,laliga,2016-09-11,19:30,Deportivo vs Athletic Bilbao,Deportivo,Athletic Bilbao,3.53,3.26,2.22,Athletic Bilbao,Athletic Bilbao,0.422,N,0,1,Athletic Bilbao,2.22
143,serie-a,2016-09-11,19:45,Pescara vs Inter Milan,Pescara,Inter Milan,4.48,3.51,1.88,Inter Milan,Inter Milan,0.567,N,1,2,Inter Milan,1.88
144,premier-league,2016-09-12,20:00,Sunderland vs Everton,Sunderland,Everton,3.66,3.4,2.14,Everton,Everton,0.462,N,0,3,Everton,2.14
145,bundesliga,2016-09-16,19:30,FC Koln vs Freiburg,FC Koln,Freiburg,1.74,3.84,4.92,FC Koln,FC Koln,0.528,N,3,0,FC Koln,1.74
146,laliga,2016-09-16,19:45,Real Betis vs Granada,Real Betis,Granada,1.75,3.79,4.95,Real Betis,Real Betis,0.567,N,2,2,Draw,3.79
147,serie-a,2016-09-16,19:45,Sampdoria vs AC Milan,Sampdoria,AC Milan,3.13,3.29,2.4,AC Milan,AC Milan,0.42,N,0,1,AC Milan,2.4
148,ligue-1,2016-09-16,19:45,Caen vs Paris SG,Caen,Paris SG,7.78,4.79,1.42,Paris SG,Paris SG,0.56,N,0,6,Paris SG,1.42
149,premier-league,2016-09-16,20:00,Chelsea vs Liverpool,Chelsea,Liverpool,2.18,3.5,3.43,Chelsea,Chelsea,0.51,N,1,2,Liverpool,3.43
150,laliga,2016-09-17,12:00,Leganes vs FC Barcelona,Leganes,FC Barcelona,17.13,7.64,1.18,FC Barcelona,FC Barcelona,0.555,N,1,5,FC Barcelona,1.18
151,bundesliga,2016-09-17,14:30,Hoffenheim vs Wolfsburg,Hoffenheim,Wolfsburg,2.74,3.62,2.5,Wolfsburg,Hoffenheim,0.621,Y,0,0,Draw,3.62
