ID,League,Date,Time,Matchup_EU_P,Home_Team,Visitor_Team,Home_Odd,Draw_Odd,Visitor_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,Home_Team_PTS,visi_team_pts,True_Result,Winner_Odd
414,laliga,2016-10-23,17:30,Villarreal vs Las Palmas,Villarreal,Las Palmas,1.64,3.92,5.79,Villarreal,Villarreal,0.564,N,2,1,Villarreal,1.64
415,laliga,2016-10-23,19:45,Real Madrid vs Athletic Bilbao,Real Madrid,Athletic Bilbao,1.19,7.66,14.82,Real Madrid,Real Madrid,0.624,N,2,1,Real Madrid,1.19
429,laliga,2016-10-28,19:45,Leganes vs Real Sociedad,Leganes,Real Sociedad,2.7,3.12,2.87,Leganes,Real Sociedad,0.477,Y,0,2,Real Sociedad,2.87
431,laliga,2016-10-29,12:00,Sporting Gijon vs FC Sevilla,Sporting Gijon,FC Sevilla,4.42,3.64,1.86,FC Sevilla,FC Sevilla,0.584,N,1,1,Draw,3.64
442,laliga,2016-10-29,15:15,Alaves vs Real Madrid,Alaves,Real Madrid,14.72,7.22,1.2,Real Madrid,Real Madrid,0.539,N,1,4,Real Madrid,1.2
446,laliga,2016-10-29,17:30,Atletico Madrid vs Malaga,Atletico Madrid,Malaga,1.23,6.29,14.91,Atletico Madrid,Atletico Madrid,0.553,N,4,2,Atletico Madrid,1.23
453,laliga,2016-10-29,19:45,FC Barcelona vs Granada,FC Barcelona,Granada,1.04,19.24,42.42,FC Barcelona,FC Barcelona,0.682,N,1,0,FC Barcelona,1.04
455,laliga,2016-10-30,11:00,Eibar vs Villarreal,Eibar,Villarreal,3.09,3.11,2.54,Villarreal,Eibar,0.376,Y,2,1,Eibar,3.09
464,laliga,2016-10-30,15:15,Athletic Bilbao vs Osasuna,Athletic Bilbao,Osasuna,1.42,4.63,8.49,Athletic Bilbao,Athletic Bilbao,0.635,N,1,1,Draw,4.63
468,laliga,2016-10-30,17:30,Real Betis vs Espanyol,Real Betis,Espanyol,2.17,3.33,3.6,Real Betis,Real Betis,0.391,N,0,1,Espanyol,3.6
469,laliga,2016-10-30,19:45,Las Palmas vs Celta Vigo,Las Palmas,Celta Vigo,2.28,3.53,3.14,Las Palmas,Las Palmas,0.477,N,3,3,Draw,3.53
473,laliga,2016-10-31,19:45,Deportivo vs Valencia,Deportivo,Valencia,2.96,3.3,2.5,Valencia,Deportivo,0.509,Y,1,1,Draw,3.3
477,laliga,2016-11-04,19:45,Malaga vs Sporting Gijon,Malaga,Sporting Gijon,1.69,3.74,5.6,Malaga,Malaga,0.593,N,3,2,Malaga,1.69
479,laliga,2016-11-05,12:00,Granada vs Deportivo,Granada,Deportivo,2.69,3.14,2.87,Granada,Granada,0.375,N,1,1,Draw,3.14
489,laliga,2016-11-05,15:15,Real Sociedad vs Atletico Madrid,Real Sociedad,Atletico Madrid,5.72,3.84,1.66,Atletico Madrid,Real Sociedad,0.452,Y,2,0,Real Sociedad,5.72
493,laliga,2016-11-05,17:30,Osasuna vs Alaves,Osasuna,Alaves,2.5,3.1,3.19,Osasuna,Alaves,0.507,Y,0,1,Alaves,3.19
500,laliga,2016-11-05,19:45,Las Palmas vs Eibar,Las Palmas,Eibar,1.95,3.64,3.96,Las Palmas,Las Palmas,0.452,N,1,0,Las Palmas,1.95
502,laliga,2016-11-06,11:00,Real Madrid vs Leganes,Real Madrid,Leganes,1.09,12.68,25.86,Real Madrid,Real Madrid,0.677,N,3,0,Real Madrid,1.09
513,laliga,2016-11-06,15:15,Espanyol vs Athletic Bilbao,Espanyol,Athletic Bilbao,2.62,3.2,2.9,Espanyol,Espanyol,0.447,N,0,0,Draw,3.2
514,laliga,2016-11-06,15:15,Celta Vigo vs Valencia,Celta Vigo,Valencia,2.32,3.48,3.13,Celta Vigo,Celta Vigo,0.565,N,2,1,Celta Vigo,2.32
520,laliga,2016-11-06,17:30,Villarreal vs Real Betis,Villarreal,Real Betis,1.61,3.92,6.19,Villarreal,Villarreal,0.604,N,2,0,Villarreal,1.61
