ID,League,Date,Time,Matchup_US_P,Visitor_Team,Home_Team,Visitor_Odd,Draw_Odd,Home_Odd,Bookies_choice,Sibyl,Confidence,Divergence_Y/N,visi_team_pts,Home_Team_PTS,True_Result,Winner_Odd
128,laliga,2016-09-10,19:30,Alaves @ FC Barcelona,Alaves,FC Barcelona,31.16,11.95,1.09,FC Barcelona,FC Barcelona,0.606,N,2,1,Alaves,31.16
129,serie-a,2016-09-10,19:45,Napoli @ Palermo,Napoli,Palermo,1.37,5.07,8.88,Napoli,Napoli,0.613,N,3,0,Napoli,1.37
130,laliga,2016-09-11,11:00,Leganes @ Sporting Gijon,Leganes,Sporting Gijon,3.22,3.07,2.49,Sporting Gijon,Sporting Gijon,0.407,N,1,2,Sporting Gijon,2.49
131,serie-a,2016-09-11,11:30,Cagliari @ Bologna,Cagliari,Bologna,3.6,3.24,2.2,Bologna,Bologna,0.476,N,1,2,Bologna,2.2
132,serie-a,2016-09-11,14:00,Torino @ Atalanta,Torino,Atalanta,2.87,3.22,2.62,Atalanta,Atalanta,0.499,N,1,2,Atalanta,2.62
133,serie-a,2016-09-11,14:00,Udinese @ AC Milan,Udinese,AC Milan,6.02,4.11,1.58,AC Milan,AC Milan,0.583,N,1,0,Udinese,6.02
134,serie-a,2016-09-11,14:00,Sampdoria @ AS Roma,Sampdoria,AS Roma,8.68,5.15,1.37,AS Roma,AS Roma,0.625,N,2,3,AS Roma,1.37
135,serie-a,2016-09-11,14:00,Lazio Roma @ Chievo,Lazio Roma,Chievo,2.27,3.18,3.51,Lazio Roma,Lazio Roma,0.392,N,1,1,Draw,3.18
136,ligue-1,2016-09-11,14:00,Metz @ Nantes,Metz,Nantes,5.65,3.49,1.72,Nantes,Nantes,0.46,N,3,0,Metz,5.65
137,bundesliga,2016-09-11,14:30,Augsburg @ Werder Bremen,Augsburg,Werder Bremen,2.96,3.47,2.41,Werder Bremen,Werder Bremen,0.419,N,2,1,Augsburg,2.96
138,laliga,2016-09-11,15:00,Real Betis @ Valencia,Real Betis,Valencia,6.21,4.32,1.55,Valencia,Valencia,0.406,N,3,2,Real Betis,6.21
139,premier-league,2016-09-11,16:00,Chelsea @ Swansea City,Chelsea,Swansea City,1.58,4.17,6.29,Chelsea,Chelsea,0.689,N,2,2,Draw,4.17
140,ligue-1,2016-09-11,16:00,Caen @ Rennes,Caen,Rennes,3.84,3.35,2.06,Rennes,Rennes,0.554,N,0,2,Rennes,2.06
