ID,Visitor_Team,V_Team_PTS,Home_Team,H_Team_PTS,True_Result,Predicted_Result,Confidence,Date
271,Sacramento Kings,0,Philadelphia 76ers,1,1,0,0.616418777126,2016-11-30
272,Atlanta Hawks,0,Phoenix Suns,1,1,0,0.80328096079,2016-11-30
273,Indiana Pacers,0,Portland Trail Blazers,1,1,1,0.769353654202,2016-11-30
274,Memphis Grizzlies,0,Toronto Raptors,1,1,1,0.930532459026,2016-11-30
275,Milwaukee Bucks,0,Brooklyn Nets,1,1,0,0.503216603952,2016-12-01
276,Dallas Mavericks,0,Charlotte Hornets,1,1,1,0.902571363198,2016-12-01
277,Los Angeles Clippers,0,Cleveland Cavaliers,1,1,0,0.808594111498,2016-12-01
278,Houston Rockets,0,Golden State Warriors,1,1,1,0.72080564537,2016-12-01
279,Orlando Magic,0,Memphis Grizzlies,1,1,1,0.812118803106,2016-12-01
280,Miami Heat,0,Utah Jazz,1,1,1,0.806933991884,2016-12-01
281,Detroit Pistons,0,Atlanta Hawks,1,1,1,0.863505180991,2016-12-02
282,Sacramento Kings,0,Boston Celtics,1,1,1,0.622612774007,2016-12-02
283,Cleveland Cavaliers,0,Chicago Bulls,1,1,0,0.501182405263,2016-12-02
284,Houston Rockets,0,Denver Nuggets,1,1,0,0.51596230724,2016-12-02
285,Los Angeles Clippers,0,New Orleans Pelicans,1,1,0,0.971325302279,2016-12-02
286,Minnesota Timberwolves,0,New York Knicks,1,1,1,0.58192941355,2016-12-02
287,Orlando Magic,0,Philadelphia 76ers,1,1,1,0.669595933091,2016-12-02
288,Washington Wizards,0,San Antonio Spurs,1,1,1,0.888658855064,2016-12-02
289,Los Angeles Lakers,0,Toronto Raptors,1,1,1,0.799160171983,2016-12-02
290,Minnesota Timberwolves,0,Charlotte Hornets,1,1,1,0.867771378723,2016-12-03
291,Chicago Bulls,0,Dallas Mavericks,1,1,0,0.604160961309,2016-12-03
292,Phoenix Suns,0,Golden State Warriors,1,1,1,0.876634376099,2016-12-03
293,Los Angeles Lakers,0,Memphis Grizzlies,1,1,0,0.651621356946,2016-12-03
294,Brooklyn Nets,0,Milwaukee Bucks,1,1,1,0.766420149285,2016-12-03
295,Boston Celtics,0,Philadelphia 76ers,1,1,0,0.595646577688,2016-12-03
296,Miami Heat,0,Portland Trail Blazers,1,1,1,0.605068639707,2016-12-03
297,Atlanta Hawks,0,Toronto Raptors,1,1,1,0.570801242277,2016-12-03
298,Denver Nuggets,0,Utah Jazz,1,1,1,0.847497005378,2016-12-03
299,Orlando Magic,0,Detroit Pistons,1,1,1,0.925295301264,2016-12-04
300,Indiana Pacers,0,Los Angeles Clippers,1,1,1,0.985756932448,2016-12-04
301,Sacramento Kings,0,New York Knicks,1,1,1,0.639185800955,2016-12-04
302,New Orleans Pelicans,0,Oklahoma City Thunder,1,1,1,0.931225130525,2016-12-04
303,Oklahoma City Thunder,0,Atlanta Hawks,1,1,1,0.760846987629,2016-12-05
304,Washington Wizards,0,Brooklyn Nets,1,1,1,0.53207139723,2016-12-05
305,Portland Trail Blazers,0,Chicago Bulls,1,1,1,0.730896125026,2016-12-05
306,Charlotte Hornets,0,Dallas Mavericks,1,1,0,0.740926120533,2016-12-05
307,Indiana Pacers,0,Golden State Warriors,1,1,1,0.890235043513,2016-12-05
308,Boston Celtics,0,Houston Rockets,1,1,1,0.845243919396,2016-12-05
309,Utah Jazz,0,Los Angeles Lakers,1,1,0,0.500508273617,2016-12-05
310,San Antonio Spurs,0,Milwaukee Bucks,1,1,0,0.681450572768,2016-12-05
311,Memphis Grizzlies,0,New Orleans Pelicans,1,1,1,0.576835208847,2016-12-05
312,Denver Nuggets,0,Philadelphia 76ers,1,1,0,0.699711068773,2016-12-05
313,Cleveland Cavaliers,0,Toronto Raptors,1,1,1,0.688051782245,2016-12-05
314,Chicago Bulls,0,Detroit Pistons,1,1,1,0.605618667787,2016-12-06
315,Philadelphia 76ers,0,Memphis Grizzlies,1,1,1,0.793335364664,2016-12-06
